index,Date,Open,High,Low,Close,Ticker,Event_date,Type,Price Change,Percent Change
299,2005-09-24,35.02205324167116,35.742287736059936,34.80213370370734,34.934085845947266,XOM,2005-09-26,Domestic Natural Disaster,-0.08796739572389356,-0.2511771514847254
1395,2005-09-24,32.34734804761118,33.81838238200257,32.34734804761118,33.17768859863281,CVX,2005-09-26,Domestic Natural Disaster,0.8303405510216351,2.566950928402166
2491,2005-09-24,28.38309174234777,29.87120173259356,28.33698135103432,29.30530166625977,COP,2005-09-26,Domestic Natural Disaster,0.9222099239119999,3.2491524612030065
3587,2005-09-24,28.136370326802776,29.133057601046087,28.08010587097531,28.473957061767575,BP,2005-09-26,Domestic Natural Disaster,0.3375867349647983,1.1998233284668292
4683,2005-09-24,26.00847723431995,26.8524085972026,25.91156406788364,26.50514411926269,SHEL,2005-09-26,Domestic Natural Disaster,0.4966668849427407,1.9096346182365305
6235,2005-09-24,29.908037603681148,32.17171834039612,29.770844623561228,31.02204322814941,VLO,2005-09-26,Domestic Natural Disaster,1.1140056244682626,3.7247700408506517
7331,2005-09-24,25.184019228942564,25.910823264634665,25.184019228942564,25.24015617370605,OXY,2005-09-26,Domestic Natural Disaster,0.056136944763487406,0.22290701199502105
8925,2005-09-24,26.961869686960178,29.03179840410182,26.95809851809455,28.24002265930176,EOG,2005-09-26,Domestic Natural Disaster,1.2781529723415836,4.740594725742439
163,2003-02-15,17.45237674054671,17.752743021290872,17.2762992740639,17.700956344604492,XOM,2003-02-20,Accident,0.248579604057781,1.4243309536188367
1259,2003-02-15,15.13469900844716,15.353531016584313,14.939397854610425,15.071167945861816,CVX,2003-02-20,Accident,-0.06353106258534424,-0.41977090228147595
2355,2003-02-15,9.509682562730209,9.822114939064791,9.466723086555422,9.75181770324707,COP,2003-02-20,Accident,0.24213514051686147,2.546195826407743
3451,2003-02-15,14.125467812698597,14.599966443644792,13.895517951350026,14.589016914367676,BP,2003-02-20,Accident,0.4635491016690789,3.2816548649267023
4547,2003-02-15,13.94652868341891,14.4041980026695,13.942980093366495,14.319050788879396,SHEL,2003-02-20,Accident,0.3725221054604866,2.671074027929113
6099,2003-02-15,4.814990656266278,5.087790789297107,4.784082004355351,5.0407562255859375,VLO,2003-02-20,Accident,0.22576556931965985,4.688805969453882
7195,2003-02-15,8.001550829302424,8.139985375406972,7.9738632586356974,8.092917442321777,OXY,2003-02-20,Accident,0.09136661301935334,1.1418613087448035
8789,2003-02-15,7.2705960795062365,7.630766843931366,7.229540835276387,7.576647758483887,EOG,2003-02-20,Accident,0.3060516789776502,4.209444117523234
604,2011-07-30,50.14206236986386,50.36541269312045,44.71341788343724,46.41956329345703,XOM,2011-08-06,Int Terrorsim,-3.7224990764068266,-7.423905002048949
605,2011-08-06,45.12906661906892,45.563360737099885,41.58649119088983,44.669960021972656,XOM,2011-08-06,Int Terrorsim,-0.459106597096266,-1.0173190617292187
1700,2011-07-30,65.56728982113954,65.59819163383978,57.989470256673,60.3320426940918,CVX,2011-08-06,Int Terrorsim,-5.235247127047742,-7.98454098275059
1701,2011-08-06,58.273804882329934,59.98592506250176,53.95951856102562,59.25039291381836,CVX,2011-08-06,Int Terrorsim,0.9765880314884257,1.6758611068222036
2796,2011-07-30,37.00045067487648,37.00045067487648,32.865223241081814,34.12442779541016,COP,2011-08-06,Int Terrorsim,-2.876022879466319,-7.772940131832382
2797,2011-08-06,32.824927856763246,33.98339692949893,30.42236696912185,33.26816940307617,COP,2011-08-06,Int Terrorsim,0.443241546312926,1.3503199405253241
3892,2011-07-30,23.36478864242082,23.405466264030604,20.166430872850057,20.812204360961918,BP,2011-08-06,Int Terrorsim,-2.552584281458902,-10.924919204381167
3893,2011-08-06,20.42414749348616,20.72193641524244,19.4280987427334,20.6243839263916,BP,2011-08-06,Int Terrorsim,0.20023643290544157,0.9803906526297005
4988,2011-07-30,39.22789132493268,39.28085108315657,32.803774062453584,34.10660552978516,SHEL,2011-08-06,Int Terrorsim,-5.121285795147514,-13.055215618721009
4989,2011-08-06,33.20975952857712,35.25153942583317,32.0736488294153,35.176513671875,SHEL,2011-08-06,Int Terrorsim,1.9667541432978766,5.922217357838671
6540,2011-07-30,15.044873015878098,15.12776546362505,11.433157124061658,12.262075424194336,VLO,2011-08-06,Int Terrorsim,-2.782797591683762,-18.49665057821921
6541,2011-08-06,11.40355543704323,12.611407914235585,10.580557310197632,12.374573707580566,VLO,2011-08-06,Int Terrorsim,0.9710182705373356,8.515048450442803
7636,2011-07-30,65.26103982426164,65.39846031784712,55.517363514980666,57.1533088684082,OXY,2011-08-06,Int Terrorsim,-8.107730955853441,-12.423539339376703
7637,2011-08-06,55.41267748713132,56.72143202338632,51.54530913525963,55.70060348510742,OXY,2011-08-06,Int Terrorsim,0.2879259979761031,0.5196031143648836
8134,2011-08-01,15.664538180278646,15.789743402106952,11.630153743091132,12.97610855102539,MPC,2011-08-06,Int Terrorsim,-2.688429629253255,-17.16252083727522
9230,2011-07-30,40.44174950704515,40.60913775165039,35.59917114957035,37.33922958374024,EOG,2011-08-06,Int Terrorsim,-3.1025199233049108,-7.671576925138801
9231,2011-08-06,36.43611665931194,38.0827501881055,33.516555981964345,36.65021896362305,EOG,2011-08-06,Int Terrorsim,0.21410230431110477,0.5876101076111437
747,2014-04-26,67.12351883414206,68.58301712982252,66.85027729122984,67.98322296142578,XOM,2014-04-27,Domestic Natural Disaster,0.8597041272837203,1.2807792890119398
1843,2014-04-26,84.05639991820786,86.0925281788595,83.59640976358277,84.36756896972656,CVX,2014-04-27,Domestic Natural Disaster,0.31116905151870355,0.3701907907327586
2939,2014-04-26,54.85920915953887,56.54412926836431,54.48396913490311,56.30132293701172,COP,2014-04-27,Domestic Natural Disaster,1.4421137774728479,2.628754222976425
4035,2014-04-26,28.465758083684044,29.41904477434264,28.25199108574618,29.39015769958496,BP,2014-04-27,Domestic Natural Disaster,0.9243996159009171,3.24740909124343
5131,2014-04-26,46.11804695425023,48.51679570134771,46.02672316001007,48.35850143432617,SHEL,2014-04-27,Domestic Natural Disaster,2.2404544800759396,4.858086211453193
5586,2014-04-21,57.532018619296885,59.49366131364645,57.4103120769036,59.128536224365234,PSX,2014-04-27,Domestic Natural Disaster,1.5965176050683496,2.7750071062739656
6683,2014-04-26,39.18974694649796,40.605334080580455,38.743082973812434,39.794464111328125,VLO,2014-04-27,Domestic Natural Disaster,0.6047171648301628,1.5430494247786946
