Date,Open,High,Low,Close,Ticker,Event_date,Type,Price Change,Percent Change
2005-09-24,1.640086108006746,1.6561737664040828,1.5356646118120634,1.6273369789123535,AAPL,2005-09-26,Domestic Natural Disaster,-0.012749129094392408,-0.7773451059765923
2005-09-24,2.122499942779541,2.2920000553131104,2.119999885559082,2.265000104904175,AMZN,2005-09-26,Domestic Natural Disaster,0.1425001621246338,6.713788738105748
2005-09-24,17.99690066248352,18.42202457685103,17.862277796790277,18.2307186126709,MSFT,2005-09-26,Domestic Natural Disaster,0.2338179501873796,1.2992123175675374
2005-09-19,7.4969000816345215,7.9506988525390625,7.4896769523620605,7.854558944702148,GOOG,2005-09-26,Domestic Natural Disaster,0.35765886306762695,4.770756701743955
2005-09-26,7.957673072814941,7.993786811828613,7.611470222473144,7.881956100463867,GOOG,2005-09-26,Domestic Natural Disaster,-0.07571697235107422,-0.9514963942127639
2005-09-24,14.516666212813696,14.647233850053968,14.124965565062174,14.62942886352539,INTC,2005-09-26,Domestic Natural Disaster,0.11276265071169433,0.7767806262030054
2005-09-24,12.602786194106317,12.616666232382624,12.248853160100316,12.436229705810549,CSCO,2005-09-26,Domestic Natural Disaster,-0.1665564882957682,-1.3215846538256613
2005-09-24,43.82591909038175,45.07952478376546,43.05360608727733,44.89484405517578,IBM,2005-09-26,Domestic Natural Disaster,1.0689249647940287,2.4390246387978665
2005-09-24,10.306252144743569,10.322703043795087,9.870313517364796,10.199323654174805,ORCL,2005-09-26,Domestic Natural Disaster,-0.10692849056876419,-1.0375109115033658
2003-02-15,0.2238689363568414,0.2322162204151474,0.2223509190528272,0.227663055062294,AAPL,2003-02-20,Accident,0.0037941187054525982,1.6947946272478236
2003-02-15,1.0075000524520874,1.0915000438690186,1.0075000524520874,1.0889999866485596,AMZN,2003-02-20,Accident,0.08149993419647217,8.089323072303063
2003-02-15,15.326875034630325,15.557213263657006,14.754140439969492,15.333099365234377,MSFT,2003-02-20,Accident,0.006224330604052142,0.04061056536305393
2003-02-15,9.560725126133836,9.962730336636673,9.426723759716705,9.782119750976562,INTC,2003-02-20,Accident,0.22139462484272698,2.3156677126670466
2003-02-15,9.667225206765815,10.201594083438705,9.59782634192364,10.180774688720703,CSCO,2003-02-20,Accident,0.5135494819548878,5.3122739045684915
2003-02-15,42.78627811544952,43.8995333148587,42.725953359995344,43.84469223022461,IBM,2003-02-20,Accident,1.0584141147750898,2.4737232622084777
2003-02-15,9.788060761718691,10.256901195380134,9.697583168622932,10.191099166870115,ORCL,2003-02-20,Accident,0.403038405151424,4.117653281513285
2011-07-30,12.074650146345377,12.126860485755278,11.00584746702372,11.341270446777344,AAPL,2011-08-06,Int Terrorsim,-0.7333796995680331,-6.073713860686924
2011-08-06,10.97913252470724,11.524006318001767,10.715953940120771,11.44356632232666,AAPL,2011-08-06,Int Terrorsim,0.46443379761942083,4.230150210631555
2011-07-30,11.25,11.3725004196167,9.741999626159668,10.135000228881836,AMZN,2011-08-06,Int Terrorsim,-1.114999771118164,-9.911109076605904
2011-08-06,9.81999969482422,10.25450038909912,9.5024995803833,10.114999771118164,AMZN,2011-08-06,Int Terrorsim,0.29500007629394354,3.004074190037173
2011-07-30,21.65620270925743,21.797901112172102,19.8613587748178,20.21560478210449,MSFT,2011-08-06,Int Terrorsim,-1.4405979271529397,-6.652126166777723
2011-08-06,19.69604105572918,20.168368471023605,18.91670149616273,19.759017944335938,MSFT,2011-08-06,Int Terrorsim,0.06297688860675876,0.3197438938544458
2011-08-01,15.22343921661377,15.330039024353027,13.997533798217772,14.421942710876465,GOOG,2011-08-06,Int Terrorsim,-0.8014965057373047,-5.2648845923239795
2011-07-30,15.567577294004272,15.650347447543076,13.939775237632498,14.339829444885254,INTC,2011-08-06,Int Terrorsim,-1.2277478491190177,-7.886569797805822
2011-08-06,14.096766342410117,14.626091726198576,13.595300818604269,14.382323265075684,INTC,2011-08-06,Int Terrorsim,0.28555692266556676,2.0256909686192985
2011-07-30,11.240907617392864,11.35974811251953,10.038521784352026,10.443977355957031,CSCO,2011-08-06,Int Terrorsim,-0.7969302614358327,-7.0895544075351715
2011-08-06,10.073474025139156,11.352756252249671,9.297516160610815,11.177990913391112,CSCO,2011-08-06,Int Terrorsim,1.1045168882519558,10.964607497825934
2011-07-30,112.2842545300429,112.95451872711604,102.39635354536998,106.36872863769533,IBM,2011-08-06,Int Terrorsim,-5.915525892347574,-5.268348547270989
2011-08-06,103.81680460357532,106.14120095061314,99.52467217184324,103.42940521240234,IBM,2011-08-06,Int Terrorsim,-0.38739939117297695,-0.37315672800011745
2011-07-30,26.00181722966449,26.20331643283318,23.0884723819622,23.80211639404297,ORCL,2011-08-06,Int Terrorsim,-2.1997008356215204,-8.45979654495827
2011-08-06,23.063294512838077,23.541857132142948,21.66958987763193,22.99612808227539,ORCL,2011-08-06,Int Terrorsim,-0.06716643056268623,-0.2912265224090094
2011-08-01,1.911332964897156,1.946666955947876,1.5219999551773071,1.616000056266785,TSLA,2011-08-06,Int Terrorsim,-0.2953329086303711,-15.451672422039882
2014-04-26,18.09011904949035,18.93114475261965,18.08222212620568,18.714807510375977,AAPL,2014-04-27,Domestic Natural Disaster,0.6246884608856256,3.4532025973771843
2014-04-26,15.199999809265137,15.66450023651123,14.399999618530272,15.400500297546388,AMZN,2014-04-27,Domestic Natural Disaster,0.20050048828125178,1.3190821762973775
2014-04-21,59.459999084472656,63.650001525878906,57.56999969482422,57.709999084472656,META,2014-04-27,Domestic Natural Disaster,-1.75,-2.9431551075435416
